,latitud,longitude
245,2.4487373,-76.6232701
246,2.4483143,-76.6225763
247,2.4482075,-76.6221745
248,2.448548,-76.6227966
249,2.4488738,-76.6233956
250,2.4493121,-76.6240868
251,2.4496866,-76.6246618
252,2.4497561,-76.6248293
253,2.4497545,-76.6248298
254,2.4497491,-76.6248343
255,2.4497446,-76.6248405
256,2.4497465,-76.6248486
257,2.4500415,-76.6253125
258,2.450355,-76.6258945
259,2.4504466,-76.6266561
260,2.4504791,-76.6275443
261,2.450721,-76.6282396
262,2.4511088,-76.6289556
263,2.4514806,-76.6296083
264,2.4518108,-76.6302311
265,2.452168,-76.6308601
266,2.452426,-76.6313843
267,2.4523763,-76.631403
268,2.4521418,-76.6309543
269,2.4518041,-76.6302893
270,2.4514568,-76.6296648
271,2.4510841,-76.6289928
272,2.450732,-76.6284045
273,2.4504326,-76.6276806
274,2.4503646,-76.6269323
275,2.4502795,-76.6266823
276,2.4495106,-76.6269685
277,2.4494831,-76.6269721
278,2.4494841,-76.6269671
